id;korean_name;english_name;position;image;tier;feature
1;가렌;garen;TOP;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/garen.png;1;LANE
2;갈리오;galio;MIDDLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/galio.png;5;FIGHT
3;갱플랭크;gangplank;TOP;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/gangplank.png;4;LANE
4;그라가스;gragas;TOP;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/gragas.png;4;FIGHT
5;그레이브즈;graves;JUNGLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/graves.png;5;GANKING
6;그웬;gwen;TOP;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/gwen.png;4;OPERATION
7;나르;gnar;TOP;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/gnar.png;4;FIGHT
8;나미;nami;SUPPORT;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/nami.png;5;LANE
9;나서스;nasus;TOP;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/nasus.png;4;OPERATION
10;노틸러스;nautilus;SUPPORT;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/nautilus.png;5;FIGHT
11;녹턴;nocturne;JUNGLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/nocturne.png;5;FIGHT
12;누누와윌럼프;nunu;JUNGLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/nunu.png;5;GANKING
13;니달리;nidalee;JUNGLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/nidalee.png;5;OPERATION
14;니코;neeko;MIDDLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/neeko.png;5;FIGHT
15;닐라;nilah;ADC;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/nilah.png;5;FIGHT
16;다리우스;darius;TOP;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/darius.png;1;LANE
17;다이애나;diana;JUNGLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/diana.png;5;FIGHT
18;드레이븐;draven;TOP;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/draven.png;5;LANE
19;라이즈;ryze;MIDDLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/ryze.png;5;OPERATION
20;라칸;rakan;SUPPORT;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/rakan.png;5;FIGHT
21;람머스;rammus;JUNGLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/rammus.png;5;GANKING
22;럭스;lux;MIDDLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/lux.png;5;LANE
23;럼블;rumble;TOP;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/rumble.png;5;FIGHT
24;레나타글라스크;renataglasc;SUPPORT;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/renataglasc.png;5;FIGHT
25;레넥톤;renekton;TOP;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/renekton.png;3;LANE
26;레오나;leona;SUPPORT;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/leona.png;5;FIGHT
27;렉사이;reksai;JUNGLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/reksai.png;5;GANKING
28;렐;rell;SUPPORT;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/rell.png;5;FIGHT
29;렝가;rengar;TOP;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/rengar.png;4;LANE
30;루시안;lucian;ADC;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/lucian.png;5;LANE
31;룰루;lulu;SUPPORT;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/lulu.png;5;FIGHT
32;르블랑;leblanc;MIDDLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/leblanc.png;5;LANE
33;리신;leesin;JUNGLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/leesin.png;5;FIGHT
34;리븐;riven;TOP;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/riven.png;2;LANE
35;리산드라;lissandra;MIDDLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/lissandra.png;5;FIGHT
36;릴리아;lillia;JUNGLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/lillia.png;3;FIGHT
37;마스터이;masteryi;JUNGLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/masteryi.png;5;OPERATION
38;마오카이;maokai;TOP;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/maokai.png;5;FIGHT
39;말자하;malzahar;MIDDLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/malzahar.png;5;FIGHT
40;말파이트;malphite;TOP;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/malphite.png;3;FIGHT
41;모데카이저;mordekaiser;TOP;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/mordekaiser.png;2;FIGHT
42;모르가나;morgana;JUNGLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/morgana.png;5;LANE
43;문도박사;drmundo;TOP;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/drmundo.png;3;FIGHT
44;미스포츈;missfortune;ADC;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/missfortune.png;5;FIGHT
45;바드;bard;SUPPORT;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/bard.png;5;OPERATION
46;바루스;varus;ADC;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/varus.png;5;LANE
47;바이;vi;JUNGLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/vi.png;5;GANKING
48;베이가;veigar;MIDDLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/veigar.png;5;FIGHT
49;베인;vayne;ADC;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/vayne.png;4;FIGHT
50;벡스;vex;MIDDLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/vex.png;5;FIGHT
51;벨베스;belveth;JUNGLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/belveth.png;5;OPERATION
52;벨코즈;velkoz;MIDDLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/velkoz.png;5;LANE
53;볼리베어;volibear;TOP;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/volibear.png;4;FIGHT
54;브라움;braum;SUPPORT;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/braum.png;5;FIGHT
55;브랜드;brand;MIDDLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/brand.png;5;LANE
56;블라디미르;vladimir;TOP;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/vladimir.png;4;LANE
57;블리츠크랭크;blitzcrank;SUPPORT;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/blitzcrank.png;5;FIGHT
58;비에고;viego;JUNGLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/viego.png;5;FIGHT
59;빅토르;viktor;MIDDLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/viktor.png;5;FIGHT
60;뽀삐;poppy;JUNGLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/poppy.png;4;GANKING
61;사미라;samira;ADC;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/samira.png;5;FIGHT
62;사이온;sion;TOP;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/sion.png;3;FIGHT
63;사일러스;sylas;MIDDLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/sylas.png;4;FIGHT
64;샤코;shaco;JUNGLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/shaco.png;5;GANKING
65;세나;senna;SUPPORT;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/senna.png;5;LANE
