id;korean_name;english_name;position;image;tier;feature
1;가렌;garen;TOP;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/garen.png;;
2;갈리오;galio;MIDDLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/galio.png;;
3;갱플랭크;gangplank;TOP;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/gangplank.png;;
4;그라가스;gragas;TOP;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/gragas.png;;
5;그레이브즈;graves;JUNGLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/graves.png;;
6;그웬;gwen;TOP;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/gwen.png;;
7;나르;gnar;TOP;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/gnar.png;;
8;나미;nami;SUPPORT;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/nami.png;;
9;나서스;nasus;TOP;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/nasus.png;;
10;노틸러스;nautilus;SUPPORT;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/nautilus.png;;
11;녹턴;nocturne;JUNGLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/nocturne.png;;
12;누누와윌럼프;nunu;JUNGLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/nunu.png;;
13;니달리;nidalee;JUNGLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/nidalee.png;;
14;니코;neeko;MIDDLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/neeko.png;;
15;닐라;nilah;ADC;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/nilah.png;;
16;다리우스;darius;TOP;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/darius.png;;
17;다이애나;diana;JUNGLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/diana.png;;
18;드레이븐;draven;TOP;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/draven.png;;
19;라이즈;ryze;MIDDLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/ryze.png;;
20;라칸;rakan;SUPPORT;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/rakan.png;;
21;람머스;rammus;JUNGLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/rammus.png;;
22;럭스;lux;MIDDLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/lux.png;;
23;럼블;rumble;TOP;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/rumble.png;;
24;레나타글라스크;renataglasc;SUPPORT;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/renataglasc.png;;
25;레넥톤;renekton;TOP;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/renekton.png;;
26;레오나;leona;SUPPORT;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/leona.png;;
