nick_name;base_team_id;position;lane_status;operation_status;fight_status;grade;id;real_name
Canna;10;Top;80;60;60;R;1;name
Doran;2;Top;70;90;90;UR;2;name
Dove;9;Top;50;80;70;R;3;name
DuDu;7;Top;70;50;50;C;4;name
Kiin;6;Top;60;60;50;C;5;name
Kingen;3;Top;50;70;70;N;6;name
Morgan;5;Top;60;70;50;N;7;name
Nuguri;4;Top;70;60;70;R;8;name
Rascal;8;Top;70;60;60;N;9;name
Sw0rd;5;Top;50;50;50;C;10;name
Zeus;1;Top;80;60;80;SR;11;name
Canyon;4;Jungle;60;80;90;SR;12;name
Croco;9;Jungle;60;60;80;N;13;name
Cuzz;8;Jungle;70;60;70;N;14;name
Dread;10;Jungle;60;60;70;N;15;name
Ellim;6;Jungle;50;70;50;C;16;name
Juhan;3;Jungle;50;70;50;C;17;name
Oner;1;Jungle;90;70;80;UR;18;name
OnFleek;7;Jungle;50;50;60;C;19;name
Peanut;2;Jungle;90;90;90;UR;20;name
Pyosik;3;Jungle;80;80;70;SR;21;name
Raptor;5;Jungle;60;50;50;C;22;name
Sylvie;10;Jungle;60;50;50;C;23;name
UmTi;5;Jungle;50;60;60;C;24;name
Willer;7;Jungle;60;50;50;C;25;name
Aria;8;Middle;50;90;60;N;26;name
Bdd;10;Middle;60;60;60;N;27;name
Chovy;2;Middle;90;80;90;UR;28;name
Clozer;9;Middle;70;60;80;R;29;name
Faker;1;Middle;70;70;60;N;30;name
FATE;6;Middle;60;50;50;C;31;name
Karis;7;Middle;50;50;50;C;32;name
Lava;5;Middle;50;50;50;C;33;name
ShowMaker;4;Middle;70;70;70;R;34;name
VicLa;8;Middle;70;80;60;R;35;name
Zeka;3;Middle;70;60;70;N;36;name
Aiming;8;ADC;70;70;80;SR;37;name
Cheoni;7;ADC;50;50;50;C;38;name
Deft;3;ADC;60;70;60;N;39;name
deokdam;4;ADC;60;60;70;N;40;name
Gamin;5;ADC;60;50;50;C;41;name
Ghost;10;ADC;50;60;60;C;42;name
Gumayusi;1;ADC;70;70;60;R;43;name
Hena;5;ADC;70;50;60;N;44;name
Prince;9;ADC;90;70;80;UR;45;name
Ruler;2;ADC;70;90;90;UR;46;name
SamD;7;ADC;60;50;50;C;47;name
Teddy;6;ADC;50;70;60;N;48;name
BeryL;3;Support;90;60;60;R;49;name
Bible;4;Support;70;50;50;C;50;name
Delight;5;Support;50;60;50;C;51;name
Effort;10;Support;70;60;50;N;52;name
Hoit;6;Support;90;60;60;R;53;name
Kael;9;Support;50;90;70;R;54;name
Kellin;4;Support;50;90;90;SR;55;name
Keria;1;Support;70;80;80;SR;56;name
Lehends;2;Support;70;80;90;UR;57;name
Life;8;Support;60;70;70;N;58;name
Moham;6;Support;80;50;50;N;59;name
Peter;10;Support;50;50;50;C;60;name
SnowFlower;10;Support;70;60;60;N;61;name
Vsta;7;Support;50;50;50;C;62;name
