nick_name;base_team_id;position;lane_status;operation_status;fight_status;grade;id;real_name;image;roaming_status;ganking_status;jungling_status
Canna;10;Top;80;60;60;R;1;김창동;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/Canna.png;50;30;30
Doran;2;Top;70;90;90;UR;2;최현준;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/Doran.png;70;30;30
Dove;9;Top;50;60;70;R;3;김재연;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/Dove.png;70;30;30
DuDu;7;Top;70;50;50;C;4;이동주;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/DuDu.png;50;30;30
Kiin;6;Top;60;60;50;C;5;김기인;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/Kiin.png;60;30;30
Kingen;3;Top;50;70;70;N;6;황성훈;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/Kingen.png;50;30;30
Morgan;5;Top;60;70;50;N;7;박기태;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/Morgan.png;70;30;30
Nuguri;4;Top;70;60;70;R;8;장하권;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/Nuguri.png;70;30;30
Rascal;8;Top;70;60;60;N;9;김광희;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/Rascal.png;65;30;30
Sw0rd;5;Top;50;50;50;C;10;최성원;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/Sw0rd.png;75;30;30
Zeus;1;Top;80;60;80;SR;11;최우제;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/Zeus.png;80;30;30
Canyon;4;Jungle;30;80;90;SR;12;김건부;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/Canyon.png;30;70;60
Croco;9;Jungle;30;60;80;N;13;김동범;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/Croco.png;30;60;60
Cuzz;8;Jungle;30;60;70;N;14;문우찬;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/Cuzz.png;30;80;70
Dread;10;Jungle;30;60;70;N;15;이진혁;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/Dread.png;30;70;60
Ellim;6;Jungle;30;70;50;C;16;최엘림;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/Ellim.png;30;60;50
Juhan;3;Jungle;30;70;50;C;17;이주한;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/Juhan.png;30;70;50
